DOR Code,Municipality,County,General Government,Police,Fire,Other Public Safety,Education,Public Works,Human Services,Culture and Recreation,Fixed Costs,Intergovernment,Other Expenses,Debt Service
104,Aquinnah,DUKES,"1,484,697","721,779","119,488","590,242","2,207,106","328,977","111,538","270,619","745,616",0,"110,974","93,332"
105,Georgetown,ESSEX,"2,098,278","2,039,626","663,394","160,993","19,190,178","1,033,359","452,013","626,516","6,813,040","404,034","8,800","2,244,968"
106,Gill,FRANKLIN,"369,037","243,941","133,831","34,222","1,916,704","805,557","27,782","36,690","222,864","13,283",0,"63,264"
107,Gloucester,ESSEX,"6,242,025","8,299,524","11,453,032","642,753","44,754,900","13,798,943","1,204,156","1,251,536","29,665,858","2,626,719","1,878,239","12,572,358"
108,Goshen,HAMPSHIRE,"497,157","86,967","79,982","82,128","1,667,068","691,233","73,210","18,682","141,004","3,591",0,"194,507"
109,Gosnold,DUKES,"443,907","9,758","37,738","5,925","55,917","161,879","2,086","324,003","139,416",0,0,"17,993"
110,Grafton,WORCESTER,"3,599,179","3,091,250","1,703,487","315,338","45,958,819","4,061,672","583,407","1,593,256","9,892,291","763,848","142,818","6,090,883"
111,Granby,HAMPSHIRE,"1,927,171","1,539,153","1,068,885","455,391","9,989,261","966,649","195,114","214,423","3,832,209","1,396,336",0,"1,017,073"
112,Granville,HAMPDEN,"486,028","227,507","61,808","223,908","2,070,197","852,168","15,703","60,077","340,894","3,060",0,"363,647"
113,Great Barrington,BERKSHIRE,"2,636,893","2,191,205","772,540","412,346","20,444,026","2,036,360","692,820","625,987","2,718,982","71,501",0,"2,091,939"
114,Greenfield,FRANKLIN,"5,026,580","3,611,089","3,202,999","1,093,591","23,433,357","2,908,913","909,273","1,024,188","15,629,421","5,327,332",0,"5,243,089"
115,Groton,MIDDLESEX,"2,780,245","2,584,166","1,753,326","786,305","27,718,371","1,915,592","391,009","1,982,228","5,262,520","98,662",0,"4,562,177"
116,Groveland,ESSEX,"1,252,879","1,566,446","478,395","108,662","14,396,018","1,682,812","303,208","325,070","1,497,798",0,"141,512","370,582"
117,Hadley,HAMPSHIRE,"1,425,823","1,827,925","848,602","735,567","7,748,069","1,441,208","346,719","295,523","3,860,343","1,439,139",0,"2,006,973"
118,Halifax,PLYMOUTH,"2,076,198","1,988,381","1,869,316","324,973","14,955,275","1,769,628","494,314","404,769","3,261,787","214,005","197,485","469,900"
119,Hamilton,ESSEX,"2,612,658","2,038,922","1,104,038","697,633","23,404,773","2,629,418","355,036","334,762","2,444,219","1,168,298","124,492","578,318"
120,Hampden,HAMPDEN,"1,124,181","1,452,275","372,549","567,308","8,591,831","1,287,140","442,749","389,433","1,524,410","57,887","2,790","215,250"
121,Hancock,BERKSHIRE,"136,593","1,912","111,627","5,729","2,018,656","167,124","6,262","35,252","62,925","42,022",644,0
122,Hanover,PLYMOUTH,"5,730,138","4,515,844","4,438,671","630,172","36,973,499","4,205,650","283,245","630,363","10,048,288","842,805",0,"4,257,376"
